Id;Maq;DtNormal;DtInv;Titulo;Hora
1;10.1.30.88;20062011;20110620;View_Blog_Teste;11:17:33
2;10.1.30.88;20062011;20110620;View_Blog_Teste;11:36:21
3;10.1.30.88;20062011;20110620;View_Blog_Teste;11:38:35
4;10.1.30.88;20062011;20110620;View_Blog_Teste;11:39:30
5;10.1.30.88;20062011;20110620;View_Blog_Teste;11:43:45
6;10.1.30.88;20062011;20110620;View_Blog_Teste;11:47:58
7;10.1.30.88;20062011;20110620;View_Blog_Teste;11:48:35
8;10.1.30.88;20062011;20110620;View_Blog_Teste;11:49:06
9;10.1.30.88;20062011;20110620;View_Blog_Teste;11:49:44
10;10.1.30.88;20062011;20110620;View_Blog_Teste;11:50:34
11;10.1.30.88;20062011;20110620;View_Blog_Teste;12:01:49
12;10.1.30.88;20062011;20110620;View_Blog_Teste;12:02:00
13;10.1.30.88;20062011;20110620;View_Blog_Teste;12:02:44
14;10.1.30.88;20062011;20110620;View_Blog_Teste;12:03:28
15;10.1.30.88;20062011;20110620;View_Blog_Teste;16:04:05
16;10.1.30.88;20062011;20110620;View_Blog_Teste;16:05:26
17;10.1.30.88;20062011;20110620;View_Blog_Teste;16:07:18
18;10.1.30.88;20062011;20110620;View_Blog_Teste;16:07:45
19;10.1.30.88;20062011;20110620;View_Blog_Teste;16:08:52
20;10.1.30.88;20062011;20110620;View_Blog_Teste;16:12:11
21;10.1.30.88;20062011;20110620;View_Blog_Teste;16:13:18
22;10.1.30.88;20062011;20110620;View_Blog_Teste;16:13:39
23;10.1.30.88;20062011;20110620;View_Blog_Teste;16:14:28
24;10.1.30.88;20062011;20110620;View_Blog_Teste;16:14:53
25;10.1.30.88;20062011;20110620;View_Blog_Teste;16:31:22
26;10.1.30.88;20062011;20110620;View_Blog_Teste;17:58:29
27;10.1.30.88;20062011;20110620;View_Blog_Teste;18:33:29
28;10.1.30.88;21062011;20110621;View_Blog_Teste;09:38:03
29;10.1.30.88;21062011;20110621;View_Blog_Teste;09:39:48
30;10.1.30.88;21062011;20110621;View_Blog_Teste;09:40:23
31;10.1.30.88;21062011;20110621;View_Blog_Teste;09:42:07
32;10.1.30.88;21062011;20110621;View_Blog_Teste;09:51:03
33;10.1.30.88;21062011;20110621;View_Blog_Teste;09:52:14
34;10.1.30.88;21062011;20110621;View_Blog_Teste;09:52:47
35;10.1.30.88;21062011;20110621;View_Blog_Teste;09:52:52
36;10.1.30.88;21062011;20110621;View_Blog_Teste;09:53:01
37;10.1.30.88;21062011;20110621;View_Blog_Teste;09:53:28
38;10.1.30.88;21062011;20110621;View_Blog_Teste;09:55:04
39;10.1.30.88;21062011;20110621;View_Blog_Teste;09:56:01
40;10.1.30.88;21062011;20110621;View_Blog_Teste;09:57:23
41;10.1.30.88;21062011;20110621;View_Blog_Teste;10:10:27
42;10.1.30.88;21062011;20110621;View_Blog_Teste;10:11:11
43;10.1.30.88;21062011;20110621;View_Blog_Teste;10:11:29
44;10.1.30.88;21062011;20110621;View_Blog_Teste;10:13:35
45;10.1.30.88;21062011;20110621;View_Blog_Teste;10:13:38
46;10.1.30.88;21062011;20110621;View_Blog_Teste;10:13:52
47;10.1.30.88;21062011;20110621;View_Blog_Teste;10:14:10
48;10.1.30.88;21062011;20110621;View_Blog_Teste;10:14:12
49;10.1.30.88;21062011;20110621;View_Blog_Teste;10:14:17
50;10.1.30.88;21062011;20110621;View_Blog_Teste;10:14:44
51;10.1.30.88;21062011;20110621;View_Blog_Teste;10:14:45
52;10.1.30.88;21062011;20110621;View_Blog_Teste;10:15:23
53;10.1.30.88;21062011;20110621;View_Blog_Teste;10:15:45
54;10.1.30.88;21062011;20110621;View_Blog_Teste;10:16:33
55;10.1.30.88;21062011;20110621;View_Blog_Teste;10:18:34
56;10.1.30.88;21062011;20110621;View_Blog_Teste;10:19:32
57;10.1.30.88;21062011;20110621;View_Blog_Teste;10:22:54
58;10.1.30.88;21062011;20110621;View_Blog_Teste;10:22:57
59;10.1.30.88;21062011;20110621;View_Blog_Teste;10:23:14
60;10.1.30.88;21062011;20110621;View_Blog_Teste;10:23:16
61;10.1.30.88;21062011;20110621;View_Blog_Teste;10:24:33
62;10.1.30.88;21062011;20110621;View_Blog_Teste;10:31:58
63;10.1.30.88;21062011;20110621;View_Blog_Teste;10:51:29
64;10.1.30.88;21062011;20110621;View_Blog_Teste;10:52:01
65;10.1.30.88;21062011;20110621;View_Blog_Teste;10:53:28
66;10.1.30.88;21062011;20110621;View_Blog_Teste;10:56:56
67;10.1.30.88;21062011;20110621;View_Blog_Teste;10:59:27
68;10.1.30.88;21062011;20110621;View_Blog_Teste;10:59:31
69;10.1.30.88;21062011;20110621;View_Blog_Teste;10:59:49
70;10.1.30.88;21062011;20110621;View_Blog_Teste;11:01:18
71;10.1.30.88;21062011;20110621;View_Blog_Teste;11:01:27
72;10.1.30.88;21062011;20110621;View_Blog_Teste;11:03:38
73;10.1.30.88;21062011;20110621;View_Blog_Teste;11:03:42
74;10.1.30.88;21062011;20110621;View_Blog_Teste;11:05:37
75;10.1.30.88;21062011;20110621;View_Blog_Teste;11:06:33
76;10.1.30.88;21062011;20110621;View_Blog_Teste;11:08:22
77;10.1.30.88;21062011;20110621;View_Blog_Teste;11:09:56
78;10.1.30.88;21062011;20110621;View_Blog_Teste;11:10:45
79;10.1.30.88;21062011;20110621;View_Blog_Teste;11:11:24
80;10.1.30.88;21062011;20110621;View_Blog_Teste;11:12:21
81;10.1.30.88;21062011;20110621;View_Blog_Teste;11:12:58
82;10.1.30.88;21062011;20110621;View_Blog_Teste;11:13:33
83;10.1.30.88;21062011;20110621;View_Blog_Teste;11:18:32
84;10.1.30.88;21062011;20110621;View_Blog_Teste;11:25:11
85;10.1.30.88;21062011;20110621;View_Blog_Teste;11:25:32
86;10.1.30.88;21062011;20110621;View_Blog_Teste;11:28:49
87;10.1.30.88;21062011;20110621;View_Blog_Teste;11:29:22
88;10.1.30.88;21062011;20110621;View_Blog_Teste;11:30:09
89;10.1.30.88;21062011;20110621;View_Blog_Teste;11:30:48
90;10.1.30.48;21062011;20110621;View_Blog_Teste;11:40:08
91;10.1.30.147;22062011;20110622;View_Blog_Teste;08:46:47
92;10.1.30.147;22062011;20110622;View_Blog_Teste;08:58:21
93;10.1.30.147;22062011;20110622;View_Blog_Teste;08:59:14
94;10.1.30.147;22062011;20110622;View_Blog_Teste;08:59:49
95;10.1.30.147;22062011;20110622;View_Blog_Teste;09:00:20
96;10.1.30.147;22062011;20110622;View_Blog_Teste;09:00:59
97;10.1.30.147;22062011;20110622;View_Blog_Teste;09:03:56
98;10.1.30.147;22062011;20110622;View_Blog_Teste;09:06:09
99;10.1.30.147;22062011;20110622;View_Blog_Teste;09:06:13
100;10.1.30.147;22062011;20110622;View_Blog_Teste;09:06:58
101;10.1.30.147;22062011;20110622;View_Blog_Teste;09:07:01
102;10.1.30.147;22062011;20110622;View_Blog_Teste;09:07:57
103;10.1.30.147;22062011;20110622;View_Blog_Teste;09:08:14
104;10.1.30.147;22062011;20110622;View_Blog_Teste;09:09:10
105;10.1.30.147;22062011;20110622;View_Blog_Teste;09:09:58
106;10.1.30.147;22062011;20110622;View_Blog_Teste;09:10:38
107;10.1.30.147;22062011;20110622;View_Blog_Teste;09:12:42
108;10.1.30.147;22062011;20110622;View_Blog_Teste;09:17:54
109;10.1.30.147;22062011;20110622;View_Blog_Teste;09:18:24
110;10.1.30.147;22062011;20110622;View_Blog_Teste;09:19:00
111;10.1.30.147;22062011;20110622;View_Blog_Teste;09:19:30
112;10.1.30.147;22062011;20110622;View_Blog_Teste;09:20:16
113;10.1.30.147;22062011;20110622;View_Blog_Teste;09:21:00
114;10.1.30.147;22062011;20110622;View_Blog_Teste;09:21:02
115;10.1.30.147;22062011;20110622;View_Blog_Teste;09:21:36
116;10.1.30.147;22062011;20110622;View_Blog_Teste;09:21:37
117;10.1.30.147;22062011;20110622;View_Blog_Teste;09:22:23
118;10.1.30.147;22062011;20110622;View_Blog_Teste;09:25:31
119;10.1.30.147;22062011;20110622;View_Blog_Teste;09:25:54
120;10.1.30.147;22062011;20110622;View_Blog_Teste;09:26:50
121;10.1.30.147;22062011;20110622;View_Blog_Teste;09:29:11
122;10.1.30.147;22062011;20110622;View_Blog_Teste;09:30:42
123;10.1.30.147;22062011;20110622;View_Blog_Teste;09:30:43
124;10.1.30.147;22062011;20110622;View_Blog_Teste;09:31:09
125;10.1.30.147;22062011;20110622;View_Blog_Teste;09:39:52
126;10.1.30.147;22062011;20110622;View_Blog_Teste;09:40:28
127;10.1.30.147;22062011;20110622;View_Blog_Teste;09:40:51
128;10.1.30.147;22062011;20110622;View_Blog_Teste;09:40:53
